iter	Logloss
0	0.5440706688
1	0.4201652896
2	0.3358920331
3	0.2760587676
4	0.2410522892
5	0.2109748135
6	0.1891466305
7	0.1760820947
8	0.1624726909
9	0.1503234009
10	0.1409615624
11	0.1313121822
12	0.1247012752
13	0.1189347346
14	0.1133918328
15	0.1089421652
16	0.1040027337
17	0.1006597756
18	0.09733212053
19	0.09459098724
20	0.0917949665
21	0.08925760823
22	0.08618156528
23	0.08366183776
24	0.08206347409
25	0.0798746139
26	0.07822322879
27	0.076393353
28	0.07506146301
29	0.07332704449
30	0.07091273661
31	0.06964846218
32	0.06867814051
33	0.06723248432
34	0.06628442325
35	0.06534787315
36	0.06395540342
37	0.06301733729
38	0.06202354561
39	0.06120803284
40	0.05981496905
41	0.05975429656
42	0.0586926012
43	0.05725147137
44	0.05649019543
45	0.05541277627
46	0.05465084051
47	0.05438606786
48	0.05376960656
49	0.05341584753
50	0.0528852395
51	0.05242983493
52	0.0517874604
53	0.05099781114
54	0.05055281123
55	0.04982266077
56	0.04935869927
57	0.04896107265
58	0.04848915114
59	0.04765633239
60	0.04656233022
61	0.04612492188
62	0.04539209951
63	0.04479354179
64	0.04452927616
65	0.04416626448
66	0.04399109151
67	0.04372721592
68	0.04333993965
69	0.04302549778
70	0.04270078764
71	0.04223026545
72	0.04201105338
73	0.04164060896
74	0.04129731088
75	0.04087080945
76	0.04059860124
77	0.04034831097
78	0.04007285562
79	0.03975900278
80	0.03974990973
81	0.03912344211
82	0.03871987908
83	0.03847603645
84	0.03825695417
85	0.03797641673
86	0.03758628255
87	0.03743615557
88	0.03704445728
89	0.03677764932
90	0.03656371748
91	0.03643259322
92	0.03621556023
93	0.03564950923
94	0.03549943607
95	0.03526924547
96	0.03512405455
97	0.03498444632
98	0.03457594973
99	0.03429527451
100	0.03415755421
101	0.03400071487
102	0.0336654421
103	0.03355047139
104	0.03339700963
105	0.03322936632
106	0.0331292326
107	0.03290433061
108	0.03278684183
109	0.03258995994
110	0.03247840605
111	0.03235480512
112	0.032177417
113	0.03190227241
114	0.03168229047
115	0.03156120843
116	0.03140863955
117	0.03116589288
118	0.03106315302
119	0.03093867589
120	0.03085655262
121	0.03064199398
122	0.03055598242
123	0.0304566194
124	0.030374185
125	0.03021499321
126	0.03007805055
127	0.02997597493
128	0.02988934077
129	0.02979018277
130	0.02964822391
131	0.02958278022
132	0.02943268774
133	0.02937565502
134	0.02931603431
135	0.0292643104
136	0.0290483464
137	0.02885540111
138	0.02879051738
139	0.02861101139
140	0.02856233882
141	0.02847630387
142	0.02840571984
143	0.02832044987
144	0.02825782277
145	0.02821768869
146	0.0281130762
147	0.02800281335
148	0.02786158595
149	0.02778685055
150	0.02775074185
151	0.02767626666
152	0.02760923728
153	0.02754192953
154	0.02750396823
155	0.027451764
156	0.0273544722
157	0.02727349997
158	0.02723194475
159	0.02719792475
160	0.02710792878
161	0.02704957793
162	0.02699911199
163	0.02687616757
164	0.02679498291
165	0.02675457996
166	0.02667882662
167	0.02662952573
168	0.02655875686
169	0.02643386755
170	0.02629676505
171	0.02621482437
172	0.02616360149
173	0.02606287977
174	0.02600378718
175	0.02597922299
176	0.02594332545
177	0.02583306098
178	0.02577303345
179	0.02572084742
180	0.02563373685
181	0.02558247289
182	0.025543295
183	0.02550075359
184	0.02545617462
185	0.02542706199
186	0.02538437154
187	0.02535818459
188	0.02532155674
189	0.02528427332
190	0.02525478481
191	0.02522609658
192	0.02520474688
193	0.02514327063
194	0.02513507817
195	0.02510267588
196	0.02505365123
197	0.02501068496
198	0.02497051973
199	0.02494580921
